prediction_date,ticker,source_ticker,predicted_value,confidence_score,actual_future_result,hit_miss,model_name,target_name,task_type,evaluation_window,prediction_uncertainty_pct,is_actionable_signal,is_regime_trade_allowed,market_regime_level,market_regime_position_multiplier,market_regime_reasons,technical_state_summary,news_sentiment_summary,benchmark_strength_summary,explanation
2018-03-19,SPY,SPY,1.0,0.5657896538565143,1,hit,random_forest,target_5d_outperform,classification,1,,True,True,normal,1.0,,Technical state looks mixed. Volatility is relatively contained at roughly 14.9%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.39%; 3-month excess return -0.45%; 6-month excess return 0.06%.,Model view: the setup leaned constructive. Confidence was around 57%. Technical state looks mixed. Volatility is relatively contained at roughly 14.9%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.39%; 3-month excess return -0.45%; 6-month excess return 0.06%.
2018-03-20,SPY,SPY,0.0,0.6191640498471894,1,miss,random_forest,target_5d_outperform,classification,1,,True,True,normal,1.0,,Technical state looks mixed. Volatility is relatively contained at roughly 14.8%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return -0.44%; 3-month excess return 0.07%; 6-month excess return 0.02%.,Model view: the setup leaned cautious. Confidence was around 62%. Technical state looks mixed. Volatility is relatively contained at roughly 14.8%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return -0.44%; 3-month excess return 0.07%; 6-month excess return 0.02%.
2018-03-21,SPY,SPY,0.0,0.6442103461434857,1,miss,random_forest,target_5d_outperform,classification,1,,True,True,normal,1.0,,Technical state looks mixed. Volatility is relatively contained at roughly 14.7%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return -0.38%; 3-month excess return 0.10%; 6-month excess return 0.08%.,Model view: the setup leaned cautious. Confidence was around 64%. Technical state looks mixed. Volatility is relatively contained at roughly 14.7%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return -0.38%; 3-month excess return 0.10%; 6-month excess return 0.08%.
2018-03-22,SPY,SPY,0.0,0.5549343986843988,1,miss,random_forest,target_5d_outperform,classification,1,,True,True,caution,0.5,benchmark_20d_weakness,Technical state looks mixed. RSI is weak near 35.1.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.41%; 3-month excess return 0.10%; 6-month excess return -0.46%.,Model view: the setup leaned cautious. Confidence was around 55%. Technical state looks mixed. RSI is weak near 35.1. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.41%; 3-month excess return 0.10%; 6-month excess return -0.46%.
2018-03-23,SPY,SPY,0.0,0.6745120759091346,1,miss,random_forest,target_5d_outperform,classification,1,,True,False,stress,0.0,benchmark_20d_selloff,Technical state looks mixed. RSI is weak near 29.4.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.41%; 3-month excess return 0.07%; 6-month excess return -0.47%.,Model view: the setup leaned cautious. Confidence was around 67%. Technical state looks mixed. RSI is weak near 29.4. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.41%; 3-month excess return 0.07%; 6-month excess return -0.47%.
2018-03-26,SPY,SPY,0.0,0.9899343986843987,0,hit,random_forest,target_5d_outperform,classification,1,,True,True,caution,0.5,benchmark_20d_weakness,Technical state looks mixed.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 0.05%; 3-month excess return 0.51%; 6-month excess return -0.04%.,Model view: the setup leaned cautious. Confidence was around 99%. Technical state looks mixed. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 0.05%; 3-month excess return 0.51%; 6-month excess return -0.04%.
2018-03-27,SPY,SPY,0.0,0.9847890498471894,0,hit,random_forest,target_5d_outperform,classification,1,,True,False,stress,0.0,benchmark_20d_selloff,Technical state looks mixed. RSI is weak near 37.5.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 0.07%; 3-month excess return 0.53%; 6-month excess return 0.05%.,Model view: the setup leaned cautious. Confidence was around 98%. Technical state looks mixed. RSI is weak near 37.5. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 0.07%; 3-month excess return 0.53%; 6-month excess return 0.05%.
2018-03-28,SPY,SPY,0.0,0.988728429199585,0,hit,random_forest,target_5d_outperform,classification,1,,True,True,caution,0.5,benchmark_20d_weakness,Technical state looks mixed. RSI is weak near 36.7.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 0.03%; 3-month excess return 0.06%; 6-month excess return 0.01%.,Model view: the setup leaned cautious. Confidence was around 99%. Technical state looks mixed. RSI is weak near 36.7. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 0.03%; 3-month excess return 0.06%; 6-month excess return 0.01%.
2018-03-29,SPY,SPY,0.0,0.868644903233613,1,miss,random_forest,target_5d_outperform,classification,1,,True,True,normal,1.0,,Technical state looks mixed.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -0.22%; 3-month excess return -0.09%; 6-month excess return -0.16%.,Model view: the setup leaned cautious. Confidence was around 87%. Technical state looks mixed. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -0.22%; 3-month excess return -0.09%; 6-month excess return -0.16%.
2018-04-02,SPY,SPY,0.0,0.9747890498471894,0,hit,random_forest,target_5d_outperform,classification,1,,True,True,caution,0.5,"benchmark_20d_weakness,ticker_drawdown",Technical state looks mixed. RSI is weak near 36.4.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 0.07%; 3-month excess return 0.04%; 6-month excess return -0.00%.,Model view: the setup leaned cautious. Confidence was around 97%. Technical state looks mixed. RSI is weak near 36.4. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 0.07%; 3-month excess return 0.04%; 6-month excess return -0.00%.
2018-04-03,SPY,SPY,0.0,0.9897890498471894,0,hit,random_forest,target_5d_outperform,classification,1,,True,True,caution,0.5,benchmark_20d_weakness,Technical state looks mixed.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked favorable. 1-month excess return 0.10%; 3-month excess return 0.09%; 6-month excess return 0.02%.,Model view: the setup leaned cautious. Confidence was around 99%. Technical state looks mixed. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked favorable. 1-month excess return 0.10%; 3-month excess return 0.09%; 6-month excess return 0.02%.
